CM04_CUST,CM04_SITE,CM04_LONG,CM04_LATT,SOURCE
4555,145,-87.979133,42.388564,TRUX_NI_COMP_RAW
4554,5762,-87.995554,42.340959,TRUX_NI_COMP_RAW
4524,7734,-87.969332,42.374283,TRUX_NI_COMP_RAW
4524,7796,-87.907423,42.352555,TRUX_NI_COMP_RAW
4634,1,-87.893901,42.332366,TRUX_NI_COMP_RAW
4439,954,-87.848993,42.400371,TRUX_NI_COMP_RAW
4382,20527,-87.840364,42.358654,TRUX_NI_COMP_RAW
4382,20524,-87.871634,42.347055,TRUX_NI_COMP_RAW
4382,20526,-87.871634,42.347055,TRUX_NI_COMP_RAW
4572,49,-87.944849,42.350256,TRUX_NI_COMP_RAW
